,paul15_clusters,n_counts_all,louvain,louvain_anno,dpt_pseudotime,distance,clusters
45,14Mo,2079.0,1,1,0.21505632,0.21505632,1
46,6Ery,2799.0,15,15,0.62565905,0.62565905,15
47,4Ery,3595.0,3,3,0.6168892,0.6168892,3
48,7MEP,545.0,0,0,0.32698387,0.32698387,0
49,2Ery,2705.0,3,3,0.75349474,0.75349474,3
50,13Baso,840.0,0,0,0.0753152,0.0753152,0
51,14Mo,2636.0,2,2,0.26733223,0.26733223,2
52,6Ery,2088.0,18,18,0.56585884,0.56585884,18
53,18Eos,513.0,4,4,0.51557237,0.51557237,4
54,4Ery,2284.0,3,3,0.71622527,0.71622527,3
55,3Ery,2857.0,6,6,0.6773055,0.6773055,6
56,3Ery,2507.0,15,15,0.7118801,0.7118801,15
57,14Mo,2324.0,9,9,0.27758312,0.27758312,9
58,2Ery,3814.0,10,10/Ery,0.7794432,0.7794432,10/Ery
59,13Baso,1809.0,11,11,0.23192666,0.23192666,11
60,2Ery,3125.0,10,10/Ery,0.8274215,0.8274215,10/Ery
61,13Baso,4422.0,24,24/Mo,0.31956863,0.31956863,24/Mo
62,13Baso,1605.0,9,9,0.27746972,0.27746972,9
63,14Mo,3766.0,9,9,0.2953317,0.2953317,9
64,7MEP,365.0,8,8,0.23771477,0.23771477,8
65,7MEP,2714.0,18,18,0.46590245,0.46590245,18
66,7MEP,424.0,8,8,0.2042852,0.2042852,8
67,10GMP,927.0,0,0,0.14760727,0.14760727,0
68,12Baso,1252.0,16,16/Stem,0.019175082,0.019175082,16/Stem
69,6Ery,1245.0,7,7,0.34773088,0.34773088,7
70,5Ery,1796.0,7,7,0.50718975,0.50718975,7
71,5Ery,1577.0,7,7,0.6011814,0.6011814,7
72,14Mo,2019.0,2,2,0.17252591,0.17252591,2
73,4Ery,3488.0,6,6,0.70776,0.70776,6
74,16Neu,1992.0,14,14,0.3398837,0.3398837,14
75,16Neu,2810.0,14,14,0.32440627,0.32440627,14
76,3Ery,4328.0,15,15,0.7533454,0.7533454,15
77,2Ery,2454.0,5,5,0.7187732,0.7187732,5
78,6Ery,2063.0,6,6,0.69377184,0.69377184,6
79,13Baso,1739.0,9,9,0.3160255,0.3160255,9
80,13Baso,1445.0,0,0,0.12346274,0.12346274,0
81,10GMP,1174.0,0,0,0.07078283,0.07078283,0
82,14Mo,1799.0,2,2,0.20134383,0.20134383,2
83,5Ery,2986.0,6,6,0.6265286,0.6265286,6
84,7MEP,379.0,8,8,0.24395242,0.24395242,8
85,7MEP,570.0,8,8,0.2141944,0.2141944,8
86,5Ery,3427.0,15,15,0.63817936,0.63817936,15
87,6Ery,1780.0,7,7,0.5008937,0.5008937,7
88,2Ery,2783.0,10,10/Ery,0.769479,0.769479,10/Ery
89,10GMP,1260.0,7,7,0.22811031,0.22811031,7
90,10GMP,1529.0,0,0,0.09621013,0.09621013,0
91,2Ery,4160.0,5,5,0.77508074,0.77508074,5
92,7MEP,346.0,8,8,0.15713441,0.15713441,8
93,6Ery,1422.0,7,7,0.34325036,0.34325036,7
94,7MEP,563.0,12,12,0.3258447,0.3258447,12
95,14Mo,1959.0,4,4,0.1854085,0.1854085,4
96,16Neu,1454.0,1,1,0.3025782,0.3025782,1
97,10GMP,831.0,0,0,0.1261344,0.1261344,0
98,3Ery,2334.0,6,6,0.5977293,0.5977293,6
99,3Ery,6186.0,17,17,0.8108974,0.8108974,17
100,13Baso,2463.0,9,9,0.30728993,0.30728993,9
101,1Ery,3233.0,10,10/Ery,0.95176905,0.95176905,10/Ery
102,14Mo,1653.0,9,9,0.31961158,0.31961158,9
103,15Mo,2006.0,1,1,0.3154136,0.3154136,1
104,2Ery,3248.0,5,5,0.77208227,0.77208227,5
105,5Ery,897.0,13,13,0.49994466,0.49994466,13
106,2Ery,2294.0,5,5,0.7639476,0.7639476,5
107,5Ery,1339.0,13,13,0.48860565,0.48860565,13
108,3Ery,4452.0,3,3,0.77107745,0.77107745,3
109,14Mo,1505.0,1,1,0.2355826,0.2355826,1
110,10GMP,1103.0,0,0,0.0966173,0.0966173,0
111,2Ery,2798.0,10,10/Ery,0.86394197,0.86394197,10/Ery
112,7MEP,327.0,12,12,0.2958315,0.2958315,12
113,4Ery,3026.0,3,3,0.7833374,0.7833374,3
114,9GMP,1908.0,16,16/Stem,0.06290258,0.06290258,16/Stem
115,7MEP,666.0,8,8,0.21549591,0.21549591,8
116,3Ery,1823.0,5,5,0.6153502,0.6153502,5
117,16Neu,1415.0,14,14,0.3626007,0.3626007,14
118,11DC,433.0,23,23,inf,inf,23
119,10GMP,638.0,0,0,0.05599353,0.05599353,0
120,6Ery,2211.0,15,15,0.61864936,0.61864936,15
121,3Ery,1419.0,7,7,0.4625941,0.4625941,7
122,2Ery,1473.0,5,5,0.7888689,0.7888689,5
123,5Ery,3856.0,6,6,0.68219465,0.68219465,6
124,2Ery,1207.0,5,5,0.65925044,0.65925044,5
125,2Ery,2336.0,5,5,0.7308076,0.7308076,5
126,5Ery,1943.0,13,13,0.6217852,0.6217852,13
127,14Mo,1557.0,9,9,0.28105184,0.28105184,9
128,5Ery,2464.0,18,18,0.6318587,0.6318587,18
129,14Mo,2361.0,1,1,0.27046335,0.27046335,1
130,3Ery,2864.0,18,18,0.5759304,0.5759304,18
131,2Ery,2370.0,5,5,0.7914785,0.7914785,5
132,16Neu,1112.0,2,2,0.37066835,0.37066835,2
133,2Ery,2484.0,10,10/Ery,0.8880839,0.8880839,10/Ery
134,13Baso,500.0,4,4,0.19647363,0.19647363,4
135,16Neu,1250.0,2,2,0.25792715,0.25792715,2
136,2Ery,2004.0,5,5,0.8590478,0.8590478,5
137,3Ery,3591.0,17,17,0.8146374,0.8146374,17
138,3Ery,3369.0,15,15,0.71787316,0.71787316,15
139,14Mo,1638.0,1,1,0.2573975,0.2573975,1
140,5Ery,1651.0,5,5,0.6370153,0.6370153,5
141,16Neu,1814.0,19,19/Neu,0.3917783,0.3917783,19/Neu
142,14Mo,1654.0,11,11,0.2651573,0.2651573,11
143,14Mo,861.0,4,4,0.22116792,0.22116792,4
144,13Baso,3208.0,9,9,0.26565483,0.26565483,9
145,3Ery,2761.0,3,3,0.7705083,0.7705083,3
146,14Mo,1150.0,4,4,0.3161017,0.3161017,4
147,7MEP,436.0,12,12,0.2489228,0.2489228,12
148,14Mo,1533.0,0,0,0.1665371,0.1665371,0
149,10GMP,518.0,4,4,0.18968445,0.18968445,4
150,2Ery,1048.0,13,13,0.4972926,0.4972926,13
151,14Mo,1118.0,0,0,0.14573796,0.14573796,0
152,15Mo,1059.0,2,2,0.34295267,0.34295267,2
153,14Mo,1702.0,1,1,0.21533325,0.21533325,1
154,16Neu,1791.0,14,14,0.3658964,0.3658964,14
155,10GMP,534.0,16,16/Stem,0.055099238,0.055099238,16/Stem
156,7MEP,371.0,8,8,0.19300544,0.19300544,8
157,5Ery,1165.0,13,13,0.5262047,0.5262047,13
158,16Neu,1784.0,2,2,0.27376485,0.27376485,2
159,2Ery,1433.0,6,6,0.69075525,0.69075525,6
160,16Neu,1220.0,2,2,0.34546557,0.34546557,2
161,14Mo,1111.0,4,4,0.30376396,0.30376396,4
162,10GMP,1232.0,0,0,0.08629672,0.08629672,0
163,16Neu,1059.0,14,14,0.32908097,0.32908097,14
164,8Mk,416.0,20,20/Mk,0.20799494,0.20799494,20/Mk
165,7MEP,492.0,7,7,0.26178288,0.26178288,7
166,14Mo,2314.0,11,11,0.28130227,0.28130227,11
167,7MEP,711.0,8,8,0.2409405,0.2409405,8
168,2Ery,1992.0,5,5,0.7100035,0.7100035,5
169,14Mo,1587.0,11,11,0.21659103,0.21659103,11
170,14Mo,523.0,9,9,0.31763372,0.31763372,9
171,4Ery,1797.0,6,6,0.6530278,0.6530278,6
172,5Ery,1615.0,13,13,0.57094115,0.57094115,13
173,14Mo,1105.0,4,4,0.2201959,0.2201959,4
174,14Mo,921.0,2,2,0.3065089,0.3065089,2
175,10GMP,522.0,20,20/Mk,0.21827699,0.21827699,20/Mk
176,6Ery,585.0,12,12,0.25524193,0.25524193,12
177,5Ery,1631.0,13,13,0.5743264,0.5743264,13
178,14Mo,1245.0,11,11,0.30430856,0.30430856,11
179,3Ery,3532.0,17,17,0.7599646,0.7599646,17
180,5Ery,1985.0,7,7,0.5826295,0.5826295,7
181,15Mo,1894.0,4,4,0.2896227,0.2896227,4
182,5Ery,2346.0,6,6,0.6881838,0.6881838,6
183,14Mo,1474.0,1,1,0.21239948,0.21239948,1
184,16Neu,1882.0,2,2,0.3272679,0.3272679,2
185,8Mk,320.0,8,8,0.19370568,0.19370568,8
186,3Ery,4721.0,17,17,0.68298966,0.68298966,17
187,14Mo,2536.0,2,2,0.3245647,0.3245647,2
188,12Baso,478.0,8,8,0.16920531,0.16920531,8
189,14Mo,2649.0,0,0,0.23736101,0.23736101,0
190,3Ery,4533.0,17,17,0.73000157,0.73000157,17
191,5Ery,1539.0,7,7,0.44112474,0.44112474,7
192,16Neu,552.0,2,2,0.31661987,0.31661987,2
193,15Mo,2113.0,2,2,0.33331314,0.33331314,2
194,13Baso,2339.0,9,9,0.2905785,0.2905785,9
195,5Ery,3113.0,6,6,0.57397074,0.57397074,6
196,3Ery,5510.0,15,15,0.746408,0.746408,15
197,13Baso,1095.0,0,0,0.13693401,0.13693401,0
198,12Baso,1244.0,16,16/Stem,0.09205274,0.09205274,16/Stem
199,8Mk,350.0,8,8,0.17473583,0.17473583,8
200,7MEP,907.0,8,8,0.15444008,0.15444008,8
201,6Ery,1578.0,18,18,0.4946773,0.4946773,18
202,2Ery,2544.0,10,10/Ery,0.77972674,0.77972674,10/Ery
203,3Ery,4687.0,17,17,0.85235465,0.85235465,17
204,3Ery,3100.0,17,17,0.69752276,0.69752276,17
205,15Mo,1888.0,1,1,0.25147733,0.25147733,1
206,3Ery,1250.0,18,18,0.48623478,0.48623478,18
207,3Ery,3026.0,3,3,0.6554374,0.6554374,3
208,3Ery,4102.0,15,15,0.6810042,0.6810042,15
209,8Mk,742.0,8,8,0.2863003,0.2863003,8
210,2Ery,2766.0,6,6,0.6607143,0.6607143,6
211,2Ery,3141.0,5,5,0.68056554,0.68056554,5
212,14Mo,2648.0,4,4,0.30276403,0.30276403,4
213,3Ery,3386.0,3,3,0.649597,0.649597,3
214,15Mo,3218.0,1,1,0.264847,0.264847,1
215,14Mo,2219.0,11,11,0.24839172,0.24839172,11
216,7MEP,492.0,8,8,0.31307134,0.31307134,8
217,15Mo,1258.0,2,2,0.2580313,0.2580313,2
218,3Ery,2086.0,6,6,0.6564458,0.6564458,6
219,3Ery,2560.0,3,3,0.59622955,0.59622955,3
220,13Baso,854.0,0,0,0.14933711,0.14933711,0
221,15Mo,4075.0,1,1,0.3265637,0.3265637,1
222,3Ery,2376.0,17,17,0.7524408,0.7524408,17
223,15Mo,2524.0,4,4,0.28241143,0.28241143,4
224,13Baso,2283.0,9,9,0.28709617,0.28709617,9
225,3Ery,1965.0,15,15,0.59532505,0.59532505,15
226,15Mo,1417.0,2,2,0.30981553,0.30981553,2
227,15Mo,2995.0,14,14,0.34032258,0.34032258,14
228,13Baso,4438.0,9,9,0.26563329,0.26563329,9
229,19Lymph,972.0,21,21,inf,inf,21
230,4Ery,2582.0,15,15,0.5968547,0.5968547,15
231,3Ery,2703.0,18,18,0.6517661,0.6517661,18
232,14Mo,1973.0,4,4,0.22398923,0.22398923,4
233,4Ery,4096.0,5,5,0.6316596,0.6316596,5
234,6Ery,990.0,7,7,0.382976,0.382976,7
235,16Neu,2957.0,19,19/Neu,0.37256652,0.37256652,19/Neu
236,14Mo,2413.0,1,1,0.21510643,0.21510643,1
237,3Ery,2583.0,10,10/Ery,0.82144547,0.82144547,10/Ery
238,17Neu,479.0,22,22/Baso,0.35048348,0.35048348,22/Baso
239,15Mo,1756.0,4,4,0.22478211,0.22478211,4
240,4Ery,2083.0,6,6,0.60037327,0.60037327,6
241,3Ery,5053.0,3,3,0.6960505,0.6960505,3
242,6Ery,873.0,7,7,0.43130746,0.43130746,7
243,14Mo,2189.0,11,11,0.29485154,0.29485154,11
244,3Ery,4406.0,15,15,0.69963866,0.69963866,15
245,16Neu,1155.0,2,2,0.29946935,0.29946935,2
246,14Mo,2338.0,24,24/Mo,0.31658024,0.31658024,24/Mo
247,15Mo,2222.0,4,4,0.20857176,0.20857176,4
248,7MEP,917.0,8,8,0.2551979,0.2551979,8
249,13Baso,1818.0,0,0,0.15331207,0.15331207,0
250,15Mo,1252.0,2,2,0.21838947,0.21838947,2
251,14Mo,3195.0,24,24/Mo,0.33500972,0.33500972,24/Mo
252,3Ery,3347.0,3,3,0.7269856,0.7269856,3
253,2Ery,1921.0,5,5,0.7132712,0.7132712,5
254,2Ery,2914.0,3,3,0.7995129,0.7995129,3
255,14Mo,2114.0,0,0,0.19608484,0.19608484,0
256,2Ery,4026.0,10,10/Ery,0.8359429,0.8359429,10/Ery
257,13Baso,2925.0,16,16/Stem,0.024133923,0.024133923,16/Stem
258,2Ery,3774.0,3,3,0.7591515,0.7591515,3
259,3Ery,4022.0,15,15,0.5944724,0.5944724,15
260,13Baso,1196.0,0,0,0.08949442,0.08949442,0
261,12Baso,482.0,8,8,0.20967956,0.20967956,8
262,2Ery,2595.0,5,5,0.73522866,0.73522866,5
263,10GMP,876.0,16,16/Stem,0.035695974,0.035695974,16/Stem
264,5Ery,2014.0,13,13,0.55500996,0.55500996,13
265,13Baso,1453.0,9,9,0.25731778,0.25731778,9
266,3Ery,3518.0,15,15,0.74797803,0.74797803,15
267,9GMP,810.0,0,0,0.06653752,0.06653752,0
268,15Mo,2167.0,2,2,0.3072808,0.3072808,2
269,2Ery,3264.0,10,10/Ery,0.8057472,0.8057472,10/Ery
270,10GMP,535.0,16,16/Stem,0.03772251,0.03772251,16/Stem
271,5Ery,2369.0,6,6,0.55425555,0.55425555,6
272,5Ery,2667.0,13,13,0.60223365,0.60223365,13
273,2Ery,3348.0,10,10/Ery,0.9354629,0.9354629,10/Ery
274,14Mo,1056.0,0,0,0.15301943,0.15301943,0
275,13Baso,1085.0,0,0,0.18515338,0.18515338,0
276,2Ery,2232.0,5,5,0.7171115,0.7171115,5
277,14Mo,3010.0,11,11,0.24101064,0.24101064,11
278,16Neu,1534.0,14,14,0.38561612,0.38561612,14
279,12Baso,337.0,16,16/Stem,0.036656443,0.036656443,16/Stem
280,14Mo,2136.0,11,11,0.25798246,0.25798246,11
281,14Mo,1003.0,11,11,0.21629332,0.21629332,11
282,3Ery,2428.0,3,3,0.8117868,0.8117868,3
283,14Mo,1282.0,11,11,0.23139368,0.23139368,11
284,13Baso,1954.0,0,0,0.1460197,0.1460197,0
285,12Baso,835.0,0,0,0.068080276,0.068080276,0
286,5Ery,1692.0,13,13,0.55217135,0.55217135,13
287,10GMP,431.0,16,16/Stem,0.0382824,0.0382824,16/Stem
288,14Mo,1276.0,1,1,0.25434354,0.25434354,1
289,4Ery,1828.0,6,6,0.63445115,0.63445115,6
290,15Mo,1422.0,1,1,0.2784951,0.2784951,1
291,11DC,1130.0,23,23,inf,inf,23
292,3Ery,4809.0,15,15,0.562036,0.562036,15
293,4Ery,2834.0,3,3,0.6500156,0.6500156,3
294,4Ery,1778.0,13,13,0.56107056,0.56107056,13
295,4Ery,2970.0,6,6,0.6590561,0.6590561,6
296,4Ery,3510.0,3,3,0.80108666,0.80108666,3
297,5Ery,1300.0,13,13,0.53888553,0.53888553,13
298,1Ery,2416.0,10,10/Ery,0.8778673,0.8778673,10/Ery
299,16Neu,2666.0,14,14,0.39914137,0.39914137,14
300,14Mo,2070.0,1,1,0.26759708,0.26759708,1
301,2Ery,3314.0,5,5,0.8357594,0.8357594,5
302,5Ery,2486.0,18,18,0.5389614,0.5389614,18
303,15Mo,1456.0,2,2,0.32383856,0.32383856,2
304,5Ery,3393.0,18,18,0.5648065,0.5648065,18
305,2Ery,2585.0,6,6,0.7272859,0.7272859,6
306,5Ery,1789.0,6,6,0.54227626,0.54227626,6
307,1Ery,2089.0,10,10/Ery,0.86596113,0.86596113,10/Ery
308,7MEP,313.0,8,8,0.24537006,0.24537006,8
309,2Ery,1579.0,5,5,0.7410237,0.7410237,5
310,14Mo,1371.0,4,4,0.27198407,0.27198407,4
311,10GMP,654.0,20,20/Mk,0.18477423,0.18477423,20/Mk
312,2Ery,1997.0,6,6,0.7052367,0.7052367,6
313,14Mo,1624.0,1,1,0.2104166,0.2104166,1
314,6Ery,565.0,7,7,0.32349363,0.32349363,7
315,9GMP,1364.0,16,16/Stem,0.14412498,0.14412498,16/Stem
316,3Ery,6101.0,17,17,0.6329349,0.6329349,17
317,2Ery,1938.0,6,6,0.63069147,0.63069147,6
318,3Ery,2042.0,6,6,0.69080937,0.69080937,6
319,12Baso,347.0,8,8,0.16768047,0.16768047,8
320,2Ery,1522.0,6,6,0.6314415,0.6314415,6
321,18Eos,410.0,4,4,0.6145238,0.6145238,4
322,5Ery,2544.0,6,6,0.67865413,0.67865413,6
323,3Ery,1443.0,13,13,0.65355986,0.65355986,13
324,15Mo,1732.0,1,1,0.25370067,0.25370067,1
325,14Mo,850.0,4,4,0.12322528,0.12322528,4
326,2Ery,2598.0,10,10/Ery,0.77521324,0.77521324,10/Ery
327,6Ery,855.0,7,7,0.3520954,0.3520954,7
328,14Mo,1020.0,4,4,0.25599313,0.25599313,4
329,2Ery,2112.0,10,10/Ery,0.8333927,0.8333927,10/Ery
330,5Ery,1896.0,13,13,0.5530126,0.5530126,13
331,12Baso,458.0,16,16/Stem,0.0316454,0.0316454,16/Stem
332,7MEP,566.0,16,16/Stem,0.18078777,0.18078777,16/Stem
333,17Neu,387.0,22,22/Baso,0.29228938,0.29228938,22/Baso
334,14Mo,1469.0,11,11,0.25296816,0.25296816,11
335,2Ery,2098.0,5,5,0.79788566,0.79788566,5
336,5Ery,1314.0,13,13,0.62830573,0.62830573,13
337,2Ery,3739.0,5,5,0.69420713,0.69420713,5
338,14Mo,1948.0,9,9,0.34346473,0.34346473,9
339,13Baso,648.0,9,9,0.26434603,0.26434603,9
340,15Mo,2702.0,1,1,0.25545773,0.25545773,1
341,2Ery,2810.0,5,5,0.8110172,0.8110172,5
342,13Baso,1466.0,0,0,0.14529347,0.14529347,0
343,16Neu,2349.0,14,14,0.36212748,0.36212748,14
344,5Ery,2392.0,6,6,0.6168184,0.6168184,6
345,14Mo,2764.0,24,24/Mo,0.2816737,0.2816737,24/Mo
346,16Neu,972.0,2,2,0.27619433,0.27619433,2
347,14Mo,1904.0,4,4,0.22024848,0.22024848,4
348,16Neu,1325.0,14,14,0.26558492,0.26558492,14
349,14Mo,1795.0,9,9,0.32591784,0.32591784,9
350,8Mk,1087.0,20,20/Mk,0.46675813,0.46675813,20/Mk
351,10GMP,1108.0,16,16/Stem,0.061528936,0.061528936,16/Stem
352,14Mo,994.0,4,4,0.13947894,0.13947894,4
353,5Ery,2526.0,13,13,0.6105997,0.6105997,13
354,7MEP,296.0,12,12,0.29236773,0.29236773,12
355,2Ery,2215.0,5,5,0.6825927,0.6825927,5
356,14Mo,1239.0,4,4,0.3167371,0.3167371,4
357,13Baso,2044.0,9,9,0.28523245,0.28523245,9
358,2Ery,2758.0,6,6,0.7244656,0.7244656,6
359,5Ery,2437.0,6,6,0.5907224,0.5907224,6
360,14Mo,1389.0,9,9,0.30879015,0.30879015,9
361,14Mo,2964.0,1,1,0.26142195,0.26142195,1
362,9GMP,1406.0,0,0,0.07411903,0.07411903,0
363,4Ery,3258.0,3,3,0.69267917,0.69267917,3
364,10GMP,414.0,0,0,0.061310273,0.061310273,0
365,13Baso,1793.0,4,4,0.242583,0.242583,4
366,10GMP,1371.0,16,16/Stem,0.03966479,0.03966479,16/Stem
367,7MEP,348.0,12,12,0.24342579,0.24342579,12
368,10GMP,941.0,0,0,0.1071871,0.1071871,0
369,3Ery,2701.0,18,18,0.49873397,0.49873397,18
370,2Ery,4878.0,3,3,0.6980573,0.6980573,3
371,14Mo,3439.0,1,1,0.29182485,0.29182485,1
372,10GMP,445.0,0,0,0.07083145,0.07083145,0
373,15Mo,1155.0,2,2,0.23264493,0.23264493,2
374,13Baso,4739.0,2,2,0.3113241,0.3113241,2
375,7MEP,429.0,12,12,0.23297352,0.23297352,12
376,6Ery,710.0,12,12,0.27125126,0.27125126,12
377,7MEP,934.0,12,12,0.26158938,0.26158938,12
378,5Ery,2132.0,18,18,0.5786904,0.5786904,18
379,14Mo,1695.0,1,1,0.23557632,0.23557632,1
380,13Baso,2121.0,1,1,0.2329035,0.2329035,1
381,10GMP,1060.0,0,0,0.07629299,0.07629299,0
382,7MEP,1027.0,12,12,0.19984984,0.19984984,12
383,3Ery,8003.0,3,3,0.7182416,0.7182416,3
384,7MEP,396.0,8,8,0.25443617,0.25443617,8
385,13Baso,1522.0,11,11,0.20050341,0.20050341,11
386,1Ery,2477.0,10,10/Ery,0.71692926,0.71692926,10/Ery
387,14Mo,1019.0,4,4,0.27398062,0.27398062,4
388,13Baso,1275.0,24,24/Mo,0.30782646,0.30782646,24/Mo
389,10GMP,489.0,0,0,0.10739266,0.10739266,0
390,9GMP,1764.0,0,0,0.038034707,0.038034707,0
391,3Ery,4089.0,15,15,0.6075215,0.6075215,15
392,13Baso,3139.0,0,0,0.1746244,0.1746244,0
393,2Ery,2896.0,10,10/Ery,0.8388253,0.8388253,10/Ery
394,13Baso,884.0,4,4,0.18284711,0.18284711,4
395,2Ery,4022.0,5,5,0.6624136,0.6624136,5
396,6Ery,383.0,12,12,0.24149391,0.24149391,12
397,6Ery,765.0,7,7,0.33953017,0.33953017,7
398,13Baso,1136.0,9,9,0.25742033,0.25742033,9
399,3Ery,4298.0,18,18,0.55446196,0.55446196,18
400,13Baso,1419.0,11,11,0.25131586,0.25131586,11
401,11DC,438.0,23,23,inf,inf,23
402,14Mo,1563.0,2,2,0.32829362,0.32829362,2
403,10GMP,491.0,16,16/Stem,0.042843852,0.042843852,16/Stem
404,8Mk,919.0,20,20/Mk,0.35297552,0.35297552,20/Mk
405,9GMP,704.0,0,0,0.04261592,0.04261592,0
406,2Ery,4419.0,5,5,0.81512666,0.81512666,5
407,13Baso,659.0,4,4,0.2518992,0.2518992,4
408,14Mo,1956.0,9,9,0.3203332,0.3203332,9
409,13Baso,818.0,0,0,0.17393216,0.17393216,0
410,14Mo,1121.0,1,1,0.24093367,0.24093367,1
411,5Ery,3563.0,6,6,0.67350304,0.67350304,6
412,14Mo,1396.0,11,11,0.2662543,0.2662543,11
413,5Ery,1387.0,13,13,0.5682907,0.5682907,13
414,13Baso,2494.0,4,4,0.18633612,0.18633612,4
415,12Baso,1199.0,22,22/Baso,0.12212137,0.12212137,22/Baso
416,16Neu,1325.0,19,19/Neu,0.3645824,0.3645824,19/Neu
417,11DC,347.0,23,23,inf,inf,23
418,13Baso,830.0,0,0,0.05788009,0.05788009,0
419,13Baso,1726.0,11,11,0.2081281,0.2081281,11
420,2Ery,2597.0,10,10/Ery,0.7445051,0.7445051,10/Ery
421,2Ery,2952.0,6,6,0.6857255,0.6857255,6
422,14Mo,1443.0,4,4,0.20650035,0.20650035,4
423,7MEP,302.0,12,12,0.26615068,0.26615068,12
424,4Ery,2387.0,13,13,0.5481959,0.5481959,13
425,6Ery,1157.0,13,13,0.49735564,0.49735564,13
426,13Baso,1098.0,4,4,0.18413675,0.18413675,4
427,14Mo,1038.0,4,4,0.2754429,0.2754429,4
428,14Mo,1937.0,1,1,0.20856886,0.20856886,1
429,6Ery,383.0,12,12,0.2449805,0.2449805,12
430,12Baso,622.0,22,22/Baso,0.113325454,0.113325454,22/Baso
431,6Ery,2350.0,18,18,0.5257659,0.5257659,18
432,14Mo,1171.0,4,4,0.2106097,0.2106097,4
433,2Ery,3206.0,6,6,0.7157515,0.7157515,6
434,13Baso,1183.0,2,2,0.32797453,0.32797453,2
435,13Baso,1538.0,9,9,0.2938373,0.2938373,9
436,14Mo,1779.0,1,1,0.23052183,0.23052183,1
437,7MEP,315.0,12,12,0.25260922,0.25260922,12
438,7MEP,422.0,8,8,0.19559526,0.19559526,8
439,15Mo,1337.0,2,2,0.27926627,0.27926627,2
440,5Ery,1420.0,13,13,0.51896226,0.51896226,13
441,5Ery,1264.0,13,13,0.4694468,0.4694468,13
442,5Ery,909.0,7,7,0.32671222,0.32671222,7
443,5Ery,2547.0,13,13,0.6750891,0.6750891,13
444,15Mo,1753.0,14,14,0.3141822,0.3141822,14
445,1Ery,3442.0,10,10/Ery,0.8188337,0.8188337,10/Ery
446,13Baso,1828.0,0,0,0.15026791,0.15026791,0
447,10GMP,1885.0,0,0,0.18877804,0.18877804,0
448,12Baso,1089.0,12,12,0.17997989,0.17997989,12
449,4Ery,4208.0,3,3,0.7738982,0.7738982,3
450,7MEP,371.0,8,8,0.17019759,0.17019759,8
451,15Mo,2112.0,19,19/Neu,0.4202813,0.4202813,19/Neu
452,19Lymph,473.0,21,21,inf,inf,21
