,Distance,Cell_Types,isADoublet,Group_Cluster
Cell_884,0.999652855616108,1,FALSE,1
Cell_887,0.999872077317165,3,FALSE,1
Cell_888,0.998599064372629,7-8-1-3-5-one,TRUE,1
Cell_889,0.998342488783211,1,FALSE,1
Cell_895,0.999494671710005,1,FALSE,1
Cell_899,0.998880542958418,7-8-1-3-5-one,TRUE,1
Cell_910,0.999054739662647,3,FALSE,1
Cell_912,0.999797901187358,1,FALSE,1
Cell_915,0.998793790301789,7-8-1-3-5-one,TRUE,1
Cell_916,0.999769345572949,1,FALSE,1
Cell_918,0.999838673497527,3,FALSE,1
Cell_928,0.998743212555737,3,FALSE,1
Cell_930,0.999837091075483,3,FALSE,1
Cell_936,0.999888506385087,1,FALSE,1
Cell_954,0.998257384201205,1,FALSE,1
Cell_969,0.999686643919811,3,FALSE,1
Cell_978,0.999747483300925,7-8-1-3-5-one,TRUE,1
Cell_981,0.999973858062771,3,FALSE,1
Cell_983,0.999613378550765,3,FALSE,1
Cell_987,0.999389856218661,1,FALSE,1
Cell_988,0.999058472512556,1,FALSE,1
Cell_991,0.996906679295728,1,FALSE,1
Cell_996,0.999429879081613,1,FALSE,1
Cell_1002,0.99981307271371,1,FALSE,1
Cell_1011,0.998056890484988,8,FALSE,1
Cell_1015,0.999998407685287,3,FALSE,1
Cell_1017,0.997789712257619,3,FALSE,1
Cell_1032,0.999884925649679,1,FALSE,1
Cell_1033,0.999806920399379,1,FALSE,1
Cell_1045,0.999850929499658,1,FALSE,1
Cell_1062,0.99927214871633,1,FALSE,1
Cell_1078,0.999823252387042,1,FALSE,1
Cell_1084,0.999122948376944,3,FALSE,1
Cell_1087,0.999869073399148,3,FALSE,1
Cell_1088,0.999557477602827,1,FALSE,1
Cell_1097,0.999478929069903,1,FALSE,1
Cell_1101,0.999071700093815,1,FALSE,1
Cell_1102,0.999603209938394,3,FALSE,1
Cell_1103,0.999849882190534,1,FALSE,1
Cell_1111,0.999697659856987,3,FALSE,1
Cell_1114,0.999922739613052,3,FALSE,1
Cell_1121,0.999927477979665,3,FALSE,1
Cell_1129,0.995771103401657,1,FALSE,1
Cell_1131,0.999021535853666,1,FALSE,1
Cell_1133,0.999989662449925,3,FALSE,1
Cell_1146,0.998080626341306,1,FALSE,1
Cell_1151,0.999978998378771,3,FALSE,1
Cell_1152,0.997992572882449,1,FALSE,1
Cell_1155,0.998870105140885,1,FALSE,1
Cell_1159,0.999698248441343,3,FALSE,1
Cell_1163,0.992724572534425,1,FALSE,1
Cell_1166,0.998962605216325,1,FALSE,1
Cell_1169,0.998560789084625,3,FALSE,1
Cell_1173,0.998271711833483,1,FALSE,1
Cell_1174,0.999899948352641,3,FALSE,1
Cell_1198,0.997501014690645,7-8-1-3-5-one,TRUE,1
Cell_1204,0.999932686794277,3,FALSE,1
Cell_1214,0.964678930071681,8,FALSE,1
Cell_1215,0.999930673917162,3,FALSE,1
Cell_1216,0.999998365730171,3,FALSE,1
Cell_1224,0.999922344243316,3,FALSE,1
Cell_1231,0.999819906763949,1,FALSE,1
Cell_1234,0.999973858062771,3,FALSE,1
Cell_1235,0.999003914167997,3,FALSE,1
Cell_1240,0.999836644070745,1,FALSE,1
Cell_1242,0.99998246485244,3,FALSE,1
Cell_1243,0.99955435278696,1,FALSE,1
Cell_1255,0.999780001475407,1,FALSE,1
Cell_1256,0.999561893312982,1,FALSE,1
Cell_1263,0.999795928162871,3,FALSE,1
Cell_1266,0.999748589954981,1,FALSE,1
Cell_1270,0.998453056438146,3,FALSE,1
Cell_1273,0.997650854854261,1,FALSE,1
Cell_1282,0.996499801019,1,FALSE,1
Cell_1283,0.998117143701602,1,FALSE,1
Cell_1287,0.990539880316625,1,FALSE,1
Cell_1294,0.999998429629125,3,FALSE,1
Cell_1301,0.99999084868243,3,FALSE,1
Cell_1305,0.9998415457994,1,FALSE,1
Cell_1316,0.998264746174827,1,FALSE,1
Cell_1320,0.999377050452669,3,FALSE,1
Cell_1321,0.997889998842122,7-8-1-3-9-one,TRUE,1
Cell_1330,0.991754484035816,1,FALSE,1
Cell_1342,0.999957439669449,3,FALSE,1
Cell_1346,0.998269404128753,1,FALSE,1
Cell_1349,0.999675781120651,1,FALSE,1
Cell_1351,0.999975627845526,1,FALSE,1
Cell_1352,0.99680514696639,1,FALSE,1
Cell_1353,0.999835392013835,3,FALSE,1
Cell_1356,0.999421988385416,3,FALSE,1
Cell_1361,0.997830066562043,3,FALSE,1
Cell_1364,0.999853661843666,1,FALSE,1
Cell_1371,0.999700247486454,1,FALSE,1
Cell_1373,0.978554777730318,7-8-1-3-10-one,TRUE,1
Cell_1377,0.999963700086009,3,FALSE,1
Cell_1382,0.999773906739892,1,FALSE,1
Cell_1387,0.99853333298368,1,FALSE,1
Cell_1398,0.998554988478123,1,FALSE,1
Cell_1399,0.999912744428668,3,FALSE,1
Cell_1401,0.998869246045304,1,FALSE,1
Cell_1404,0.999894202432895,3,FALSE,1
Cell_1407,0.994050588774625,7-8-1-3-10-one,TRUE,1
Cell_1409,0.999159825283938,3,FALSE,1
Cell_1415,0.99940995221825,1,FALSE,1
Cell_1422,0.999983003755835,3,FALSE,1
Cell_1430,0.99982315417473,1,FALSE,1
Cell_1431,0.999526282972502,1,FALSE,1
Cell_1434,0.999778222441233,1,FALSE,1
Cell_1440,0.969542407222903,8,FALSE,1
Cell_1443,0.999987996933587,3,FALSE,1
Cell_1449,0.994991414748689,8,FALSE,1
Cell_1450,0.998077694686791,1,FALSE,1
Cell_1456,0.999993596491449,3,FALSE,1
Cell_1462,0.998615718809559,1,FALSE,1
Cell_1479,0.9861824541279,7-8-1-3-10-one,TRUE,1
Cell_1481,0.999877226225054,3,FALSE,1
Cell_1483,0.999831610701124,1,FALSE,1
Cell_1490,0.999755749576685,3,FALSE,1
Cell_1495,0.999908151825748,1,FALSE,1
Cell_1499,0.999783890735593,1,FALSE,1
Cell_1504,0.999809796520799,3,FALSE,1
Cell_1506,0.983056754203292,7-8-1-3-10-one,TRUE,1
Cell_1507,0.997532978995066,1,FALSE,1
Cell_1510,0.999849292643519,1,FALSE,1
Cell_1516,0.999723220833175,1,FALSE,1
Cell_1517,0.999783023462532,3,FALSE,1
Cell_1518,0.998307430550249,1,FALSE,1
Cell_1522,0.9980639625694,8,FALSE,1
Cell_1525,0.999768002447121,3,FALSE,1
Cell_1531,0.999788505174611,1,FALSE,1
Cell_1534,0.997460296218612,1,FALSE,1
Cell_1555,0.999770021198363,1,FALSE,1
Cell_1557,0.999888790233096,3,FALSE,1
Cell_1560,0.999804836735265,3,FALSE,1
Cell_1563,0.999862519769886,1,FALSE,1
Cell_1568,0.99969918992973,3,FALSE,1
Cell_1571,0.99982497752073,3,FALSE,1
Cell_1590,0.995099444027343,7-8-1-3-10-one,TRUE,1
Cell_1594,0.999960599603136,3,FALSE,1
Cell_1601,0.980855310345266,8,FALSE,1
Cell_1602,0.999407816853136,1,FALSE,1
Cell_1605,0.999966814927378,3,FALSE,1
Cell_1606,0.999789668142572,1,FALSE,1
Cell_1610,0.999998455660677,3,FALSE,1
Cell_1627,0.999758956892283,1,FALSE,1
Cell_1632,0.998738317985582,1,FALSE,1
Cell_1639,0.999892323563988,3,FALSE,1
Cell_1644,0.999973858062771,3,FALSE,1
Cell_1646,0.999784287945895,1,FALSE,1
Cell_1648,0.999973858062771,3,FALSE,1
Cell_1658,0.999799032904176,3,FALSE,1
Cell_1666,0.985521144202831,8,FALSE,1
Cell_1667,0.999795049511144,3,FALSE,1
Cell_1670,0.999779771531846,1,FALSE,1
Cell_1671,0.999973858062771,3,FALSE,1
Cell_1684,0.994427666700828,1,FALSE,1
Cell_1689,0.999845019909202,3,FALSE,1
Cell_1690,0.999974469190763,3,FALSE,1
Cell_1701,0.999548420813102,1,FALSE,1
Cell_1740,0.999848224982486,3,FALSE,1
Cell_1741,0.999876390226262,3,FALSE,1
Cell_1742,0.999575085938707,1,FALSE,1
Cell_1746,0.999784956787758,1,FALSE,1
Cell_1747,0.916905236274154,7-8-1-3-10-even,TRUE,1
Cell_1748,0.999792050184149,3,FALSE,1
Cell_1750,0.999871837226711,3,FALSE,1
Cell_1756,0.999935104687792,3,FALSE,1
Cell_1761,0.999513017334588,7-8-1-3-5-one,TRUE,1
Cell_1769,0.999945694670078,3,FALSE,1
Cell_1778,0.999973858062771,3,FALSE,1
Cell_1799,0.999920690782647,3,FALSE,1
Cell_1805,0.999849605092887,1,FALSE,1
Cell_1806,0.999941510685282,3,FALSE,1
Cell_1809,0.999846833356767,1,FALSE,1
Cell_1810,0.999965223764031,3,FALSE,1
Cell_1820,0.999973858062771,3,FALSE,1
Cell_1830,0.999922242907872,3,FALSE,1
Cell_1832,0.999853491955793,1,FALSE,1
Cell_1846,0.99965291433101,1,FALSE,1
Cell_1850,0.999296976351283,1,FALSE,1
Cell_1851,0.9998614244363,3,FALSE,1
Cell_1853,0.999928034547833,3,FALSE,1
Cell_1856,0.999953403548537,3,FALSE,1
Cell_1862,0.996442449408066,8,FALSE,1
Cell_1867,0.998528449190984,3,FALSE,1
Cell_1870,0.999915947498001,1,FALSE,1
Cell_1881,0.999875773313276,3,FALSE,1
Cell_1887,0.998622592662289,1,FALSE,1
Cell_1892,0.999501286938541,1,FALSE,1
Cell_1893,0.999654234307656,1,FALSE,1
Cell_1903,0.986717919592896,1,FALSE,1
Cell_1911,0.998377549081834,7-8-1-3-5-one,TRUE,1
Cell_1912,0.999855408779992,3,FALSE,1
Cell_1924,0.999544772329768,3,FALSE,1
Cell_1928,0.998708385207494,1,FALSE,1
Cell_1929,0.999882128105389,1,FALSE,1
Cell_1930,0.997311850523331,1,FALSE,1
Cell_1931,0.999811208929685,1,FALSE,1
Cell_1943,0.996280958237792,7-8-1-3-5-one,TRUE,1
Cell_1947,0.998891380560436,3,FALSE,1
Cell_1948,0.999925438219935,3,FALSE,1
Cell_1950,0.999990154477173,3,FALSE,1
Cell_1956,0.999865892688302,3,FALSE,1
Cell_1957,0.999820758426755,1,FALSE,1
Cell_1959,0.999973158826672,3,FALSE,1
Cell_1963,0.999720659064371,3,FALSE,1
Cell_1972,0.999874747703874,3,FALSE,1
Cell_1974,0.998432460529972,1,FALSE,1
Cell_1975,0.999855430343925,3,FALSE,1
Cell_1982,0.999975062498663,3,FALSE,1
Cell_1986,0.999744814372169,1,FALSE,1
Cell_1993,0.999973858062771,3,FALSE,1
Cell_2010,0.999485327610568,1,FALSE,1
Cell_2011,0.999421962895705,1,FALSE,1
Cell_2018,0.999803934729281,1,FALSE,1
Cell_2029,0.997772860779528,1,FALSE,1
Cell_2031,0.999317200130593,1,FALSE,1
Cell_2035,0.999178011567184,3,FALSE,1
Cell_2038,0.999936713456148,3,FALSE,1
Cell_2043,0.999884049871313,1,FALSE,1
Cell_2044,0.999522626989067,1,FALSE,1
Cell_2054,0.999847185168734,3,FALSE,1
Cell_2057,0.999988391532809,3,FALSE,1
Cell_2059,0.999568367265205,1,FALSE,1
Cell_2060,0.993241029469975,1,FALSE,1
Cell_2067,0.999306062348196,3,FALSE,1
Cell_2072,0.999327474238722,7-8-1-3-5-one,TRUE,1
Cell_2081,0.976667922383581,7-8-1-3-5-two,TRUE,1
Cell_2082,0.997867261538713,1,FALSE,1
Cell_2087,0.999855105297665,1,FALSE,1
Cell_2116,0.999962069013125,3,FALSE,1
Cell_2119,0.999928482919918,3,FALSE,1
Cell_2129,0.996543681406194,8,FALSE,1
Cell_2139,0.999257310867308,1,FALSE,1
Cell_2148,0.999973858062771,3,FALSE,1
Cell_2168,0.998025121077802,1,FALSE,1
Cell_2177,0.998224566855258,1,FALSE,1
Cell_2179,0.999705046984921,1,FALSE,1
Cell_2200,0.9996502905368,1,FALSE,1
Cell_2208,0.999763677734095,1,FALSE,1
Cell_2210,0.99712378204171,7-8-1-3-5-one,TRUE,1
Cell_2216,0.993509834367729,7-8-1-3-9-one,TRUE,1
Cell_2220,0.996502368923905,7-8-1-3-5-one,TRUE,1
Cell_2225,0.999973858062771,3,FALSE,1
Cell_2227,0.999934719622027,3,FALSE,1
Cell_2231,0.996640493930667,7-8-1-3-5-one,TRUE,1
Cell_2233,0.999853468391988,1,FALSE,1
Cell_2234,0.998088002524749,1,FALSE,1
Cell_2238,0.998623051929839,1,FALSE,1
Cell_2241,0.996766724659268,1,FALSE,1
Cell_2252,0.999612272305309,3,FALSE,1
Cell_2254,0.999635309309961,1,FALSE,1
Cell_2274,0.995398041765475,8,FALSE,1
Cell_2276,0.999856708450465,3,FALSE,1
Cell_2279,0.99980607108178,1,FALSE,1
Cell_2290,0.999551271205566,1,FALSE,1
Cell_2298,0.998779505285976,1,FALSE,1
Cell_2300,0.999398671447218,3,FALSE,1
Cell_2304,0.998336155612102,1,FALSE,1
Cell_2316,0.999958340862161,3,FALSE,1
Cell_2317,0.999881550049717,3,FALSE,1
Cell_2318,0.999812348707575,3,FALSE,1
Cell_2319,0.999883232694231,3,FALSE,1
Cell_2322,0.997937173118183,1,FALSE,1
Cell_2327,0.99959821133541,1,FALSE,1
Cell_2342,0.999957917729939,3,FALSE,1
Cell_2347,0.999535348681784,1,FALSE,1
Cell_2352,0.986545989992835,1,FALSE,1
Cell_2358,0.999539854321609,3,FALSE,1
Cell_2367,0.999980750474469,3,FALSE,1
Cell_2373,0.999794387101978,1,FALSE,1
Cell_2376,0.999396719834265,3,FALSE,1
Cell_2380,0.992234222542915,1,FALSE,1
Cell_2399,0.998830879467443,3,FALSE,1
Cell_2405,0.999768575864159,1,FALSE,1
Cell_2407,0.996896938602546,1,FALSE,1
Cell_2410,0.991550414028144,1,FALSE,1
Cell_2411,0.999922725508302,3,FALSE,1
Cell_2415,0.99980165980176,1,FALSE,1
Cell_2427,0.995541872280468,1,FALSE,1
Cell_2435,0.996815705665539,7-8-1-3-5-one,TRUE,1
Cell_2444,0.997398500341247,1,FALSE,1
Cell_2448,0.999883837372955,3,FALSE,1
Cell_2459,0.998795262839843,8,FALSE,1
Cell_2460,0.997424164050428,1,FALSE,1
Cell_2461,0.999644212659124,1,FALSE,1
Cell_2463,0.998836777997706,1,FALSE,1
Cell_2479,0.992656380642062,8,FALSE,1
Cell_2489,0.998785227990451,3,FALSE,1
Cell_2494,0.996855060337727,1,FALSE,1
Cell_2495,0.999684256140679,1,FALSE,1
Cell_2498,0.999779864946194,3,FALSE,1
Cell_2505,0.65733722649299,7,FALSE,1
Cell_2512,0.998227223146476,1,FALSE,1
Cell_2525,0.999950221108909,3,FALSE,1
Cell_2527,0.999409566051908,3,FALSE,1
Cell_2530,0.996354747696476,3,FALSE,1
Cell_2536,0.998565565899756,3,FALSE,1
Cell_2538,0.988103050921294,1,FALSE,1
Cell_2548,0.990490692475626,1,FALSE,1
Cell_2555,0.999806059474652,3,FALSE,1
Cell_2573,0.99754978559352,7-8-1-3-9-one,TRUE,1
Cell_2578,0.999707694339389,1,FALSE,1
Cell_2585,0.980294598824914,7-8-1-3-9-one,TRUE,1
Cell_2587,0.997830727069681,3,FALSE,1
Cell_2589,0.998271207951287,1,FALSE,1
Cell_2590,0.983783184108039,7-8-1-3-10-one,TRUE,1
Cell_2595,0.998798508528873,3,FALSE,1
Cell_2596,0.980159286169583,8,FALSE,1
Cell_2597,0.99925336952303,1,FALSE,1
Cell_2599,0.993464637746624,1,FALSE,1
Cell_2634,0.999692212372261,1,FALSE,1
Cell_2641,0.999608452654537,1,FALSE,1
Cell_2642,0.998845267378424,1,FALSE,1
Cell_2643,0.999391452838189,7-8-1-3-5-one,TRUE,1
Cell_2651,0.994371653822761,1,FALSE,1
Cell_2655,0.999514210241573,3,FALSE,1
Cell_2666,0.999915565452789,1,FALSE,1
Cell_2668,0.999375938712631,3,FALSE,1
Cell_2678,0.995457899438294,1,FALSE,1
Cell_2693,0.999736936758942,3,FALSE,1
Cell_2697,0.999795641158615,3,FALSE,1
Cell_2705,0.999643420999739,1,FALSE,1
Cell_2710,0.997205344486737,1,FALSE,1
Cell_2716,0.99986529233697,3,FALSE,1
Cell_2717,0.994486025892637,1,FALSE,1
Cell_2719,0.998960523273591,7-8-1-3-5-one,TRUE,1
Cell_2726,0.999760486379297,1,FALSE,1
Cell_9,0.99941211012467,2,FALSE,2
Cell_10,0.998185002522741,9-6-2-4-two,TRUE,2
Cell_14,0.994634520115915,2,FALSE,2
Cell_17,0.999483873256688,6,FALSE,2
Cell_26,0.99952826416601,2,FALSE,2
Cell_35,0.993310902488353,2,FALSE,2
Cell_40,0.987233478584326,6,FALSE,2
Cell_49,0.999365295979829,2,FALSE,2
Cell_54,0.998740224714014,2,FALSE,2
Cell_55,0.996613993662696,2,FALSE,2
Cell_73,0.99933427835005,6,FALSE,2
Cell_77,0.999819859889647,2,FALSE,2
Cell_78,0.999491457828019,2,FALSE,2
Cell_86,0.998938149304378,2,FALSE,2
Cell_88,0.99895405708213,2,FALSE,2
Cell_91,0.999587569049663,2,FALSE,2
Cell_98,0.993814395259977,6,FALSE,2
Cell_104,0.999123899722311,2,FALSE,2
Cell_106,0.99875414923988,2,FALSE,2
Cell_111,0.998067507974666,2,FALSE,2
Cell_113,0.999924219357708,2,FALSE,2
Cell_116,0.997494733806678,2,FALSE,2
Cell_122,0.995505036541069,6,FALSE,2
Cell_123,0.999272099521089,5-6-2-4-two,TRUE,2
Cell_124,0.999232029070404,2,FALSE,2
Cell_125,0.998266351929864,6,FALSE,2
Cell_131,0.999487384156397,2,FALSE,2
Cell_136,0.998291940752111,2,FALSE,2
Cell_145,0.999509532604116,2,FALSE,2
Cell_159,0.992845235105769,5-6-2-4-even,TRUE,2
Cell_168,0.99948461975806,2,FALSE,2
Cell_171,0.999921277771747,2,FALSE,2
Cell_182,0.998374626167603,2,FALSE,2
Cell_195,0.999020638472954,5-6-2-4-even,TRUE,2
Cell_202,0.99826176141107,2,FALSE,2
Cell_210,0.999770198069448,2,FALSE,2
Cell_219,0.999965749555503,6,FALSE,2
Cell_231,0.999092464316028,2,FALSE,2
Cell_233,0.999465454897875,6,FALSE,2
Cell_237,0.993663871029643,6,FALSE,2
Cell_253,0.999261075386774,2,FALSE,2
Cell_254,0.999253060332415,2,FALSE,2
Cell_258,0.998053301555686,6,FALSE,2
Cell_262,0.999330037146032,2,FALSE,2
Cell_269,0.999918809223138,2,FALSE,2
Cell_273,0.999435525186312,2,FALSE,2
Cell_276,0.999241740784526,2,FALSE,2
Cell_282,0.999919086250848,2,FALSE,2
Cell_293,0.998199072532433,6,FALSE,2
Cell_295,0.998046388764685,2,FALSE,2
Cell_296,0.999844882807874,2,FALSE,2
Cell_298,0.997439446828542,2,FALSE,2
Cell_301,0.999995811755179,2,FALSE,2
Cell_305,0.99881732169304,6,FALSE,2
Cell_307,0.998655933859146,2,FALSE,2
Cell_309,0.997395127007255,2,FALSE,2
Cell_312,0.998479161764995,6,FALSE,2
Cell_317,0.999982107838118,2,FALSE,2
Cell_318,0.990976671633913,6,FALSE,2
Cell_320,0.999823023445049,2,FALSE,2
Cell_322,0.99977029961571,5-6-2-4-even,TRUE,2
Cell_326,0.998575805540154,2,FALSE,2
Cell_329,0.999474108954778,2,FALSE,2
Cell_335,0.999643166835775,2,FALSE,2
Cell_337,0.999011551134214,2,FALSE,2
Cell_341,0.999663745390728,2,FALSE,2
Cell_344,0.999219062807593,2,FALSE,2
Cell_355,0.998975520890803,2,FALSE,2
Cell_358,0.999176718247597,2,FALSE,2
Cell_363,0.998858599370946,2,FALSE,2
Cell_370,0.99970171364235,2,FALSE,2
Cell_386,0.999744955003649,2,FALSE,2
Cell_393,0.999930205255949,2,FALSE,2
Cell_395,0.999905216942869,2,FALSE,2
Cell_406,0.997420376110652,6,FALSE,2
Cell_411,0.999704813783916,2,FALSE,2
Cell_420,0.996854667703597,2,FALSE,2
Cell_433,0.99964906620735,2,FALSE,2
Cell_445,0.999553068438062,2,FALSE,2
Cell_456,0.999594021680158,6,FALSE,2
Cell_477,0.998408776300156,2,FALSE,2
Cell_490,0.999693673391579,2,FALSE,2
Cell_491,0.999712524615096,2,FALSE,2
Cell_492,0.998768951651416,2,FALSE,2
Cell_507,0.999697635611116,2,FALSE,2
Cell_516,0.999619504164917,2,FALSE,2
Cell_520,0.999743891936766,2,FALSE,2
Cell_527,0.999911331092462,2,FALSE,2
Cell_538,0.998968874151824,6,FALSE,2
Cell_545,0.998145072745043,6,FALSE,2
Cell_546,0.99277870498265,6,FALSE,2
Cell_563,0.9998035606617,2,FALSE,2
Cell_564,0.99977006505032,2,FALSE,2
Cell_574,0.999220798289658,6,FALSE,2
